generation,specimen_id,total_fitness,alive_bonus,joints_at_limits,speed,distance
2,,227.22,230.0,-2.779999999999995,0.0,0.0
2,,286.56,292.0,-5.439999999999984,0.0,0.0
2,,240.89000000000001,246.0,-5.109999999999984,0.0,0.0
2,,240.89000000000001,246.0,-5.109999999999984,0.0,0.0
2,,157.47,159.0,-1.5300000000000011,0.0,0.0
2,,172.22,174.0,-1.7800000000000014,0.0,0.0
2,,256.94,260.0,-3.0599999999999983,0.0,0.0
2,,229.21,232.0,-2.789999999999995,0.0,0.0
2,,235.42000000000002,239.0,-3.5799999999999885,0.0,0.0
2,,167.66,170.0,-2.3400000000000007,0.0,0.0
2,,180.45,183.0,-2.55,0.0,0.0
2,,215.75,220.0,-4.249999999999995,0.0,0.0
2,,261.31,265.0,-3.6899999999999964,0.0,0.0
2,,252.50000000000003,259.0,-6.499999999999984,0.0,0.0
2,,177.83,181.0,-3.169999999999997,0.0,0.0
2,,184.36,187.0,-2.639999999999999,0.0,0.0
2,,250.55,254.0,-3.449999999999993,0.0,0.0
3,25,203.22,206.0,-2.780000000000001,0.0,0.0
3,26,218.77,224.0,-5.229999999999998,0.0,0.0
3,27,188.41,191.0,-2.589999999999998,0.0,0.0
3,28,144.18,146.0,-1.8200000000000014,0.0,0.0
3,29,146.2,148.0,-1.8000000000000014,0.0,0.0
3,30,110.88,112.0,-1.1200000000000006,0.0,0.0
3,31,156.31,159.0,-2.690000000000001,0.0,0.0
3,32,253.24,260.0,-6.759999999999993,0.0,0.0
3,33,204.73,208.0,-3.269999999999997,0.0,0.0
3,34,332.92,341.0,-8.079999999999972,0.0,0.0
3,35,301.83000000000004,309.0,-7.169999999999976,0.0,0.0
3,36,256.56,262.0,-5.4399999999999835,0.0,0.0
3,37,119.53999999999999,121.0,-1.460000000000001,0.0,0.0
3,38,393.28000000000003,399.0,-5.719999999999969,0.0,0.0
3,39,418.15000000000003,423.0,-4.849999999999967,0.0,0.0
3,40,165.83,168.0,-2.170000000000001,0.0,0.0
3,41,291.64,295.0,-3.3599999999999945,0.0,0.0
3,42,225.87,229.0,-3.1299999999999932,0.0,0.0
3,43,416.73,423.0,-6.269999999999978,0.0,0.0
3,44,180.38,184.0,-3.6199999999999988,0.0,0.0
3,45,226.15,229.0,-2.849999999999996,0.0,0.0
3,46,190.53,195.0,-4.469999999999997,0.0,0.0
3,47,150.5,153.0,-2.499999999999999,0.0,0.0
3,48,281.26,285.0,-3.7399999999999936,0.0,0.0
3,49,260.46,264.0,-3.539999999999995,0.0,0.0
3,,404.93,413.0,-8.069999999999975,0.0,0.0
3,,126.72,128.0,-1.280000000000001,0.0,0.0
3,,217.54,222.0,-4.459999999999997,0.0,0.0
3,,284.3,289.0,-4.6999999999999815,0.0,0.0
3,,149.81,151.0,-1.1900000000000008,0.0,0.0
3,,253.24,260.0,-6.759999999999993,0.0,0.0
3,,174.71,177.0,-2.2899999999999983,0.0,0.0
3,,178.04,180.0,-1.9600000000000013,0.0,0.0
3,,355.86,363.0,-7.139999999999988,0.0,0.0
3,,288.85,296.0,-7.149999999999984,0.0,0.0
3,,287.90000000000003,293.0,-5.099999999999978,0.0,0.0
3,,159.29,164.0,-4.709999999999999,0.0,0.0
3,,125.6,128.0,-2.4,0.0,0.0
3,,175.84,179.0,-3.159999999999998,0.0,0.0
3,,156.18,158.0,-1.8200000000000014,0.0,0.0
3,,131.62,134.0,-2.38,0.0,0.0
3,,153.4,156.0,-2.5999999999999983,0.0,0.0
3,,455.5300000000001,466.0,-10.469999999999935,0.0,0.0
3,,249.64000000000001,254.0,-4.3599999999999905,0.0,0.0
3,,332.05,337.0,-4.949999999999983,0.0,0.0
3,,143.47,145.0,-1.530000000000001,0.0,0.0
3,,162.81,165.0,-2.1900000000000013,0.0,0.0
3,,265.04,268.0,-2.959999999999992,0.0,0.0
3,,181.23,183.0,-1.7700000000000014,0.0,0.0
3,,176.47,179.0,-2.5300000000000007,0.0,0.0
4,25,491.33000000000004,501.0,-9.669999999999936,0.0,0.0
4,26,303.23,307.0,-3.7699999999999885,0.0,0.0
4,27,166.01,168.0,-1.9900000000000013,0.0,0.0
4,28,238.45000000000002,242.0,-3.5499999999999945,0.0,0.0
4,29,268.64000000000004,274.0,-5.359999999999984,0.0,0.0
4,30,254.09,260.0,-5.909999999999994,0.0,0.0
4,31,123.53,125.0,-1.4700000000000009,0.0,0.0
4,32,193.42,195.0,-1.580000000000001,0.0,0.0
4,33,334.92,340.0,-5.079999999999973,0.0,0.0
4,34,305.52000000000004,310.0,-4.479999999999982,0.0,0.0
4,35,272.23,276.0,-3.7699999999999867,0.0,0.0
4,36,210.41,214.0,-3.589999999999996,0.0,0.0
4,37,229.59,234.0,-4.409999999999993,0.0,0.0
4,38,183.62,185.0,-1.380000000000001,0.0,0.0
4,39,178.48,182.0,-3.5199999999999996,0.0,0.0
4,40,126.61,128.0,-1.390000000000001,0.0,0.0
4,41,164.59,167.0,-2.4099999999999997,0.0,0.0
4,42,145.87,147.0,-1.1300000000000006,0.0,0.0
4,43,135.35,138.0,-2.6499999999999986,0.0,0.0
4,44,188.98,191.0,-2.0200000000000014,0.0,0.0
4,45,149.76,152.0,-2.2399999999999998,0.0,0.0
4,46,149.69,151.0,-1.3100000000000007,0.0,0.0
4,47,108.94,110.0,-1.0600000000000005,0.0,0.0
4,48,267.19,271.0,-3.809999999999997,0.0,0.0
4,49,232.54,235.0,-2.4599999999999986,0.0,0.0
4,,178.33,180.0,-1.670000000000001,0.0,0.0
4,,283.78000000000003,288.0,-4.219999999999992,0.0,0.0
4,,221.46,224.0,-2.5399999999999956,0.0,0.0
4,,249.60000000000002,254.0,-4.399999999999986,0.0,0.0
4,,176.81,180.0,-3.1899999999999973,0.0,0.0
4,,349.5,356.0,-6.499999999999975,0.0,0.0
4,,258.06,261.0,-2.9399999999999933,0.0,0.0
4,,266.06,270.0,-3.9399999999999853,0.0,0.0
4,,178.49,181.0,-2.5099999999999985,0.0,0.0
4,,191.35,194.0,-2.6499999999999977,0.0,0.0
4,,218.85,221.0,-2.1499999999999995,0.0,0.0
4,,281.26,285.0,-3.7399999999999936,0.0,0.0
4,,136.73,139.0,-2.270000000000001,0.0,0.0
4,,336.19,341.0,-4.809999999999978,0.0,0.0
4,,261.09000000000003,266.0,-4.909999999999989,0.0,0.0
4,,493.43000000000006,501.0,-7.569999999999944,0.0,0.0
4,,321.88,327.0,-5.119999999999984,0.0,0.0
4,,418.15000000000003,423.0,-4.849999999999967,0.0,0.0
4,,174.24,176.0,-1.7600000000000013,0.0,0.0
4,,254.99,259.0,-4.00999999999999,0.0,0.0
4,,215.09,218.0,-2.9099999999999984,0.0,0.0
4,,152.45,154.0,-1.5500000000000012,0.0,0.0
