generation,specimen_id,total_fitness,distance,walk_straight,speed,joints_at_limits,alive_bonus,height_diff
4,,-619.3460485395947,-456.8797893579931,-0.0722447809993491,-251.39881926666158,-10.599999999999996,154,-54.395195133940604
4,,124.55575383544557,-318.7306180610916,-0.01224793263188474,354.40477916629453,-13.800000000000002,157,-54.306159337125436
4,,116.17466586630474,-330.98684894837305,-0.038845814007911,354.9284515071558,-13.900000000000002,161,-54.82809087847008
4,,121.39575751417352,-331.06361009006133,-0.0550256514991759,356.21635466181453,-12.400000000000004,163,-54.30196140608048
4,,123.19962304994033,-330.9956770300744,-0.053365965905180876,363.1530381726229,-11.299999999999997,157,-54.60437212670302
5,4,68.24120125347119,-393.52095970300695,-0.022981771959285,353.9896843872979,-19.30000000000001,182,-54.90454165886049
5,5,105.64821097989773,-338.5985842644813,-0.05060497245121406,355.13350093226495,-19.700000000000006,164,-55.136100715434715
5,6,128.28260255895373,-313.1785091090402,-0.022220979622257362,354.5420715845485,-13.800000000000004,155,-54.258738936932325
5,7,113.20113673536807,-334.14483466493795,-0.03889491812813778,354.6168509967577,-14.700000000000008,162,-54.53198467832352
5,8,110.572968066768,-342.9873480429781,-0.025050215862047233,356.78235024884657,-15.100000000000007,167,-55.096983923238405
5,9,117.0396570503037,-333.8780823261336,-0.062423708687686784,362.9283196376028,-15.600000000000007,158,-54.348156552477796
5,,55.38828277851839,-424.686012270527,-0.033194943644000774,356.3878693651962,-15.300000000000006,194,-54.98037937250682
5,,99.8043506470647,-347.44484095349344,-0.06608506776256423,356.27326839630217,-21.099999999999998,167,-54.85799172798148
5,,120.3775669357271,-324.52811096092097,-0.06507333149902467,355.83549730295437,-14.800000000000006,159,-55.064746074807246
5,,107.86747096727564,-342.41015661369215,-0.057619097394034514,356.20211206123054,-18.300000000000008,167,-54.566865382868706
5,,108.36491424763481,-338.99161837517016,-0.015933275475341378,355.25031200803005,-19.50000000000001,166,-54.37784610974974
5,,94.87272922123518,-380.0617927723493,-0.01147476034987292,388.20636671828385,-17.10000000000001,159,-55.16036996434948
6,4,101.21961035819405,-354.43757267777914,-0.05274113542170581,366.7639518226964,-19.099999999999998,163,-54.95402765130154
6,5,90.62040393119946,-360.9480642111287,-0.21866457918545096,356.8912907600086,-19.300000000000008,169,-54.80415803849497
6,6,117.2198494039815,-324.10754063780547,-0.03918471833983745,354.5231192822733,-17.30000000000001,159,-54.85654452214649
6,7,104.90047979434402,-345.20046734638674,-0.021876875669011888,356.0838673651776,-18.90000000000001,168,-55.06104334877779
6,8,111.93377499294797,-336.58696530558564,-0.06539370635916808,356.181995264304,-18.200000000000006,165,-54.39586125941124
6,9,112.8195602365264,-348.64601658010696,-0.035407902329816984,375.94591709105595,-17.1,157,-54.34493237209276
6,,117.2198494039815,-324.10754063780547,-0.03918471833983745,354.5231192822733,-17.30000000000001,159,-54.85654452214649
