generation,specimen_id,total_fitness,alive_bonus,speed,height_diff,forces,distance
0,20,-285.92489911684214,85.5,-43.06224813650657,-7.362650980335388,-160.00000000000017,-161.0
0,21,-435.57202228351554,65.5,-25.656599742618706,-6.415422540897048,-359.9999999999998,-109.0
0,22,-110.09741039451967,91.0,-26.580209753218348,-7.517200641301129,-20.000000000000185,-147.0
0,23,-158.78021059080433,51.5,-39.202839885708975,-6.077370705095165,-60.000000000000185,-105.0
0,24,-245.30107084511988,69.0,-40.71792029413038,-5.583150550989753,-139.99999999999974,-128.0
0,25,-167.3433064548018,58.0,-41.88571199761685,-5.457594457184802,-60.00000000000014,-118.0
0,26,-261.2333469677302,65.0,-48.033865197396935,-6.199481770333121,-140.0000000000001,-132.0
0,27,-293.0480535195062,53.0,-31.999556172220494,-6.048497347285577,-200.00000000000014,-108.0
0,28,-129.11883238349407,54.5,-27.397561045195317,-5.221271338298594,-40.00000000000014,-111.0
0,29,-311.9598147620352,59.5,-12.978495698238222,-6.481319063797272,-259.9999999999997,-92.0
0,30,-436.4744994062194,60.5,-27.632440349261557,-6.342059056957737,-340.0000000000001,-123.0
0,31,-183.96878700609736,84.0,-54.69587556181822,-8.272911444278979,-40.00000000000017,-165.0
0,32,-456.45220201138585,57.0,-23.9657272479309,-5.486474763455191,-379.9999999999998,-104.0
0,33,-140.7525801612305,66.5,-45.39417102237596,-6.85840913885469,-19.999999999999847,-135.0
0,34,-499.7227730226132,61.0,-50.41808848701668,-6.304684535596308,-380.00000000000017,-124.0
0,35,-355.4378283663704,61.0,-26.755349844802254,-5.682478521568429,-259.9999999999997,-124.0
0,36,-452.2112070654021,83.0,-39.92093191476316,-7.290275150638839,-320.0000000000001,-168.0
0,37,-373.07962146077944,65.5,-40.37052708931643,-6.209094371462844,-260.00000000000017,-132.0
0,38,-111.69396136526451,83.0,4.246202072963924,-6.94016343822829,-120.00000000000014,-72.0
0,39,-374.96630025525064,68.5,-43.87867939252268,-7.587620862727841,-280.0000000000001,-112.0
0,40,-215.75331476490916,71.0,-57.76471216072869,-6.988602604180651,-99.99999999999982,-122.0
0,41,-305.64502589328697,72.0,-52.8882828510336,-7.756743042253207,-200.00000000000014,-117.0
0,42,-233.08759712014933,111.0,-50.13555053070463,-9.952046589444922,-59.99999999999979,-224.0
0,43,-227.50531324274704,66.0,-21.42989274446773,-6.075420498279522,-179.9999999999998,-86.0
0,44,-172.40288340217325,76.0,-45.657399842145075,-8.745483560028006,-40.00000000000017,-154.0
0,45,-320.2201219620707,87.5,-7.510502527484342,-8.209619434586646,-319.9999999999997,-72.0
0,46,-103.90615389936033,48.5,-48.08956033722746,-5.316593562132684,-1.9326762412674727e-13,-99.0
0,47,-429.80921803859377,59.5,-60.48793790239599,-7.821280136197626,-300.00000000000017,-121.0
0,48,-176.06393115828655,59.5,-18.468808727586097,-6.095122430700311,-120.00000000000014,-91.0
0,49,-216.72719241602786,79.5,-48.62629404793775,-6.600898368090335,-79.99999999999977,-161.0
0,50,-184.446812444084,69.5,-65.62968950599318,-7.317122938090977,-39.99999999999986,-141.0
0,51,-388.93228370909446,79.5,-59.020823933090774,-8.41145977600392,-239.99999999999974,-161.0
0,52,-47.67931841475708,54.0,-15.300498554409403,-5.37881986034752,-1.5916157281026246e-13,-81.0
0,53,-467.0063565255659,61.5,-57.47441590710548,-6.03194061846027,-340.0000000000001,-125.0
0,54,-191.72648534141626,55.0,-29.897716240988526,-5.828769100427567,-100.00000000000018,-111.0
0,55,-415.4082020596935,81.0,-38.08049725459351,-7.327704805099888,-320.0000000000001,-131.0
0,56,-119.64208261512408,55.5,-37.000742385610515,-5.1413402295137685,-19.9999999999998,-113.0
0,57,-468.6083979303431,66.5,-32.43076581826369,-7.6776321120792685,-360.0000000000001,-135.0
0,58,-34.01603297904282,102.5,17.778105734784834,-9.294138713827847,-59.9999999999998,-85.0
0,59,-302.4399916284193,64.0,-18.11661543066427,-6.323376197755299,-219.99999999999974,-122.0
0,60,-352.4507994437961,61.0,-44.241368583913896,-7.209430859882017,-240.00000000000014,-122.0
0,61,-188.41239374498656,64.5,-35.790425989031306,-6.1219677559554055,-79.99999999999983,-131.0
0,62,-169.9494844293858,50.5,-50.881509162999464,-6.567975266386505,-59.9999999999998,-103.0
0,63,-337.91426122396507,58.5,-50.185486906617975,-7.228774317347321,-219.99999999999977,-119.0
0,64,-261.3002578383066,91.0,-25.128294010165384,-8.171963828141022,-180.0000000000002,-139.0
0,65,-142.43487233613584,71.0,-42.53789353441151,-6.8969788017245115,-19.999999999999808,-144.0
0,66,-337.38368629798515,81.5,-49.84112331680908,-8.04256298117594,-200.00000000000014,-161.0
0,67,-296.8499859940923,94.0,-55.902199794026075,-8.947786200066469,-139.99999999999977,-186.0
0,68,-240.80236024278216,54.5,-58.341786505582704,-5.960573737199276,-120.00000000000018,-111.0
0,69,-345.3260341882386,55.0,-62.66394670286013,-5.662087485378384,-220.00000000000014,-112.0
0,70,-335.062774028543,77.0,-53.480994703969714,-8.581779324573555,-219.99999999999974,-130.0
0,71,-108.7087834347766,80.5,-20.372651690555102,-7.83613174422169,-19.99999999999982,-141.0
0,72,-136.2514370753657,71.5,-20.301450044532558,-6.449987030833374,-39.99999999999975,-141.0
0,73,-392.44560697507484,59.0,-34.51744377319104,-5.928163201884012,-319.9999999999998,-91.0
0,74,-316.02739593649454,90.0,-16.703654868919696,-7.323741067574674,-280.00000000000017,-102.0
0,75,-118.98447974374014,92.0,30.485484718936775,-10.469964462677146,-139.99999999999977,-91.0
0,76,-238.15716761039135,52.0,-38.0295756711298,-6.127591939261812,-139.99999999999974,-106.0
0,77,-194.403017999864,63.0,-42.185832318685975,-7.217185681177847,-80.00000000000018,-128.0
0,78,-373.300469231114,82.0,1.7172405417526317,-7.0177097728665805,-360.00000000000006,-90.0
0,79,-196.0011335763113,58.0,-30.879242042306466,-6.121891534004697,-100.00000000000013,-117.0
0,80,-459.89210563628546,68.0,-20.343968467652694,-6.548137168632626,-400.0000000000001,-101.0
0,81,-218.30969952918494,87.5,-32.53317321116527,-7.276526318019494,-120.00000000000017,-146.0
0,82,-377.43112179733316,76.5,-27.936634936941218,-6.994486860391851,-300.0000000000001,-119.0
0,83,-182.4690032159556,93.0,27.502819258389305,-9.971822474344773,-220.00000000000014,-73.0
0,84,-166.2138407824879,69.5,-48.68993007963099,-6.023910702856692,-40.0000000000002,-141.0
0,85,-243.94782347429685,47.0,-16.54823766344097,-5.399585810855732,-180.00000000000014,-89.0
0,86,-242.93120377102656,63.0,-40.22526134325653,-6.705942427769904,-160.0000000000001,-99.0
0,87,-163.07111217459715,72.5,-42.05353925466623,-6.517572919931088,-39.99999999999982,-147.0
