generation,specimen_id,total_fitness,alive_bonus,speed,forces
1,,-58581.99690812361,127.0,-39.37109301032731,-58669.625815113286
1,,-197803.83177187206,206.0,-35.00188213418687,-197974.82988973788
1,,-22711.7633002104,185.0,-48.7067627348925,-22848.05653747551
1,,-27313.714104078463,178.0,-30.444033778636573,-27461.270070299826
1,,-149158.5217567313,140.0,-30.03449903036091,-149268.48725770094
1,,-260542.44390091847,142.0,-41.79959957666064,-260642.64430134182
1,,-598049.9819022727,203.0,-58.793820828973296,-598194.1880814437
2,25,-62828.760901054164,139.0,-34.40911701021897,-62933.351784043945
2,26,-1296500.009020783,157.0,-34.89384699286803,-1296622.1151737901
2,27,-1851020.7340168278,147.0,-25.307469889881318,-1851142.4265469378
2,28,-16425.448771978543,184.0,46.4793219409497,-16655.928093919494
2,29,-70524.00321073155,150.0,-31.894574821023866,-70642.10863591052
2,30,-105042.91299337121,119.0,-27.964502183723013,-105133.94849118749
2,31,-15170.7680057422,197.0,-18.85727289007665,-15348.910732852124
2,32,-896178.1084024273,157.0,-59.56694955337029,-896275.541452874
2,33,-668851.7644850293,95.0,-28.726942550122352,-668918.0375424791
2,34,-144184.5533114516,153.0,-44.43978039672678,-144293.11353105487
2,35,-56140.90521902287,178.0,-51.76379112746781,-56267.1414278954
2,36,-70584.85208181266,135.0,-61.87645924462225,-70657.97562256803
2,37,-1175860.5409191342,253.0,-45.00050718991368,-1176068.5404119443
2,38,-156900.63376958415,107.0,-25.916838744930818,-156981.71693083923
2,39,-143347.4656584334,122.0,-29.654696204066532,-143439.81096222933
2,40,-154940.77197491762,175.0,-41.68247492859711,-155074.08949998903
2,41,-339493.68024636694,177.0,-38.406769840090945,-339632.27347652684
2,42,-14831.410775719733,214.0,-34.34565210986207,-15011.065123609871
2,43,-514897.9443947337,124.0,-35.75036936495593,-514986.1940253687
2,44,-3342124.1734058284,241.0,-35.3854547372473,-3342329.7879510913
2,45,-31416.110386135817,190.0,-50.67021211397528,-31555.44017402184
2,46,-672875.9407061882,313.0,26.854401036925825,-673215.7951072252
2,47,-824683.3036675057,178.0,-42.895532228343875,-824818.4081352773
2,48,-1661597.7532498536,166.0,-50.77290070645869,-1661712.9803491472
2,49,-138709.30172283493,127.0,-32.677389524715025,-138803.62433331023
2,,-152646.36666234242,152.0,-70.22692309769006,-152728.13973924474
2,,-399909.4138921587,189.0,-46.355213191785026,-400052.05867896695
2,,-445716.5959830519,123.0,-16.521680411198524,-445823.07430264074
2,,-122539.72833466475,157.0,-57.96497423923618,-122638.76336042551
2,,-519127.70391955774,149.0,-56.68776950435417,-519220.01615005336
2,,66.22918017148297,105.0,-22.24904499707036,-16.521774831446674
2,,-185721.38925593713,110.0,-22.603744334498028,-185808.78551160262
2,,-1982845.1584663554,250.0,50.42125443277547,-1983145.5797207882
2,,-167991.33571313747,112.0,-41.630742747702264,-168061.70497038975
2,,-419315.6282340579,181.0,-38.826713828831195,-419457.8015202291
2,,-17422.50754250677,186.0,40.48214998182059,-17648.98969248859
2,,-537325.9969411017,154.0,43.88620934777609,-537523.8831504495
2,,-1002351.2628721575,167.0,-50.59297026882199,-1002467.6699018887
2,,-1230007.3354012028,113.0,-26.588314920242716,-1230093.7470862826
