generation,specimen_id,total_fitness,alive_bonus,speed
2,35,273.0638012633104,228.0,45.063801263310374
2,36,238.9755917507349,203.0,35.9755917507349
2,37,332.90810968000807,326.0,6.90810968000807
2,38,169.8932021136042,217.0,-47.10679788639581
2,39,122.46748806046159,206.0,-83.53251193953841
2,40,244.60137464045738,205.0,39.601374640457365
2,41,130.78800197456943,156.0,-25.21199802543058
2,42,417.6445608848281,501.0,-83.3554391151719
2,43,84.13871056433827,142.0,-57.86128943566173
2,44,114.3747722618087,125.0,-10.625227738191295
2,45,77.8111909316897,146.0,-68.1888090683103
2,46,70.9394666852632,117.0,-46.06053331473681
2,47,137.54355356289074,164.0,-26.45644643710927
2,48,97.71581129230135,124.0,-26.28418870769865
2,49,110.00812600816289,165.0,-54.99187399183711
2,,262.0886157652895,255.0,7.088615765289511
2,,115.46402646758744,157.0,-41.535973532412555
2,,129.86636914712733,176.0,-46.13363085287267
2,,201.94158306891723,181.0,20.94158306891724
2,,138.24257910260562,164.0,-25.757420897394375
2,,352.0858275378836,341.0,11.085827537883548
2,,181.8621550895017,157.0,24.86215508950171
2,,241.89335784614244,224.0,17.893357846142433
2,,137.57651972320713,171.0,-33.423480276792866
2,,200.81780822818808,173.0,27.817808228188085
2,,86.51521562038513,151.0,-64.48478437961487
2,,125.1289548832851,152.0,-26.871045116714892
2,,260.63720309734435,250.0,10.63720309734436
2,,186.6187019523885,161.0,25.61870195238851
2,,194.79704776717227,233.0,-38.202952232827734
2,,194.85873178234465,157.0,37.858731782344655
2,,132.36604505379424,162.0,-29.633954946205762
2,,163.73018178134123,193.0,-29.269818218658763
2,,127.66439619004241,174.0,-46.33560380995759
2,,82.73909123634917,133.0,-50.26090876365084
2,,187.19695711315865,228.0,-40.80304288684137
2,,88.3923269167718,152.0,-63.6076730832282
2,,127.09460033619716,173.0,-45.90539966380284
2,,102.32292071687728,160.0,-57.67707928312272
2,,105.32601524627775,158.0,-52.67398475372225
3,25,104.75822853772266,155.0,-50.24177146227734
3,26,123.10997528672806,170.0,-46.89002471327195
3,27,126.48297101946861,198.0,-71.51702898053139
3,28,288.94863725966576,248.0,40.948637259665745
3,29,185.31149728700876,249.0,-63.68850271299123
3,30,331.28824350518255,293.0,38.28824350518258
3,31,111.46486307633396,170.0,-58.53513692366605
3,32,235.09608316075307,217.0,18.09608316075307
3,33,286.2708044335368,323.0,-36.729195566463176
3,34,152.22126851128115,202.0,-49.77873148871885
3,35,92.33349679928901,121.0,-28.666503200710984
3,36,122.21742100190653,172.0,-49.78257899809346
3,37,162.5558510446027,212.0,-49.4441489553973
3,38,169.1060553116334,144.0,25.10605531163341
3,39,124.77657453197288,166.0,-41.223425468027116
3,40,142.744120579185,170.0,-27.255879420815013
3,41,312.1751904997795,307.0,5.17519049977951
3,42,202.21860608748602,168.0,34.218606087486016
3,43,175.15545872102575,149.0,26.155458721025752
3,44,93.94834610124894,157.0,-63.051653898751056
3,45,124.09744383037295,173.0,-48.90255616962704
3,46,92.1178730542912,164.0,-71.8821269457088
3,47,308.95013407827474,319.0,-10.049865921725242
3,48,246.8160893544206,253.0,-6.183910645579415
3,49,165.41541352466984,219.0,-53.58458647533015
3,,143.72704879947054,177.0,-33.27295120052946
3,,284.7579946813242,281.0,3.757994681324203
3,,237.69797414049472,270.0,-32.30202585950528
3,,454.07714264810505,501.0,-46.92285735189494
3,,221.28177725487666,171.0,50.28177725487667
3,,273.0638012633104,228.0,45.063801263310374
3,,186.46319017738065,152.0,34.463190177380646
3,,146.1219334922079,174.0,-27.878066507792113
3,,178.79947709884556,225.0,-46.20052290115444
3,,155.95776153928966,193.0,-37.04223846071033
3,,150.48806360404416,191.0,-40.51193639595583
3,,173.6265509864725,155.0,18.626550986472484
3,,393.08877011796164,376.0,17.08877011796164
3,,178.5047422488767,141.0,37.5047422488767
3,,330.37959630402156,277.0,53.37959630402156
3,,215.91609956422448,240.0,-24.083900435775508
3,,190.4083851046933,245.0,-54.591614895306684
3,,159.78812520255127,203.0,-43.21187479744872
3,,65.68814658989194,115.0,-49.311853410108064
3,,87.9087794456438,143.0,-55.09122055435619
3,,238.55844030562105,226.0,12.558440305621046
3,,90.95650482434075,150.0,-59.043495175659245
3,,244.1727909037467,225.0,19.172790903746687
3,,98.59660978027074,147.0,-48.40339021972926
3,,268.85696095574474,206.0,62.856960955744746
4,25,260.05365983657697,243.0,17.05365983657699
4,26,207.0539638634477,181.0,26.053963863447713
4,27,214.1509316675027,247.0,-32.84906833249729
4,28,337.892961843559,322.0,15.89296184355902
4,29,191.20477933198293,229.0,-37.79522066801708
4,30,504.92226906782906,501.0,3.9222690678290455
4,31,182.2668264431402,143.0,39.2668264431402
4,32,124.55646277394666,152.0,-27.443537226053333
4,33,222.37031180821387,194.0,28.370311808213877
4,34,356.0198811032104,332.0,24.019881103210405
4,35,238.62279633453687,310.0,-71.37720366546314
4,36,179.6335015284455,151.0,28.633501528445482
4,37,254.71906630223938,224.0,30.719066302239384
4,38,304.5876049136949,288.0,16.587604913694943
4,39,277.0275857457344,258.0,19.027585745734456
4,40,135.25353980725748,180.0,-44.74646019274251
4,41,198.84389516451398,221.0,-22.156104835486023
4,42,164.5846114368032,214.0,-49.41538856319683
4,43,212.28097159207735,183.0,29.28097159207734
4,44,96.9351108701461,142.0,-45.06488912985389
4,45,206.0909794114895,172.0,34.09097941148953
4,46,204.27599687469765,162.0,42.27599687469765
4,47,231.5308593362102,196.0,35.5308593362102
4,48,227.89912883912265,201.0,26.899128839122653
4,49,277.2786468155143,223.0,54.27864681551432
4,,114.77702672714395,152.0,-37.222973272856045
4,,517.0670887763163,501.0,16.067088776316243
4,,331.28824350518255,293.0,38.28824350518258
4,,331.28824350518255,293.0,38.28824350518258
4,,331.28824350518255,293.0,38.28824350518258
4,,466.46203846230685,501.0,-34.537961537693164
4,,198.05030339960572,188.0,10.050303399605724
4,,188.53042366938928,221.0,-32.46957633061071
4,,147.94780351004155,192.0,-44.05219648995845
4,,174.85049819662567,209.0,-34.14950180337435
4,,288.94863725966576,248.0,40.948637259665745
4,,216.23273717847695,202.0,14.232737178476963
4,,212.1076680450361,197.0,15.107668045036096
4,,407.07654924956336,411.0,-3.923450750436647
4,,223.26895877634342,178.0,45.268958776343425
4,,126.92470805179181,174.0,-47.07529194820819
4,,232.1533289987514,188.0,44.15332899875139
4,,205.32595754202137,182.0,23.325957542021364
4,,164.4112992921084,186.0,-21.588700707891608
4,,151.79577764960098,243.0,-91.20422235039902
4,,162.61294912321313,141.0,21.61294912321312
4,,176.39644158639408,143.0,33.396441586394076
4,,124.86197058241707,177.0,-52.13802941758293
4,,161.8054724836892,221.0,-59.19452751631082
4,,493.7539468456464,501.0,-7.246053154353614
5,25,114.52804977057677,167.0,-52.47195022942323
5,26,163.5847212611378,196.0,-32.41527873886222
5,27,488.99300263235006,501.0,-12.006997367649946
5,28,148.1196043894604,190.0,-41.880395610539615
5,29,319.71040485239547,277.0,42.710404852395456
5,30,460.40937943436245,501.0,-40.59062056563752
5,31,157.9800964938322,198.0,-40.0199035061678
5,32,128.81172567024817,192.0,-63.18827432975185
5,33,222.0622926051812,221.0,1.0622926051811976
5,34,229.1253701626326,211.0,18.125370162632596
5,35,116.3331219800694,155.0,-38.666878019930614
5,36,270.83506521240145,317.0,-46.16493478759855
5,37,206.17030883844848,198.0,8.170308838448463
5,38,180.21730388238257,212.0,-31.782696117617448
5,39,455.05779813962715,381.0,74.05779813962715
5,40,109.23794970014357,157.0,-47.762050299856426
5,41,265.5016184620922,266.0,-0.49838153790777306
5,42,179.71158050764393,150.0,29.71158050764393
5,43,270.99971108673657,229.0,41.99971108673656
5,44,73.70033984719035,112.0,-38.29966015280966
5,45,148.26755598070082,188.0,-39.732444019299166
5,46,201.3482689934076,151.0,50.3482689934076
5,47,297.2547566420162,290.0,7.254756642016197
5,48,184.38514651351176,140.0,44.38514651351175
5,49,98.49518603407654,161.0,-62.50481396592346
5,,347.58942157784986,314.0,33.589421577849876
5,,240.11872006356012,221.0,19.11872006356013
5,,222.51135066067562,182.0,40.511350660675625
5,,133.69082834045886,174.0,-40.30917165954113
5,,294.30128458492663,323.0,-28.698715415073366
5,,214.99398525037014,236.0,-21.00601474962986
5,,219.68523455867944,197.0,22.68523455867944
5,,230.66678204969807,212.0,18.666782049698075
5,,212.69355073806761,174.0,38.69355073806762
5,,114.76537354802663,143.0,-28.23462645197337
5,,201.00957194459335,255.0,-53.99042805540665
5,,356.9007009663062,321.0,35.90070096630618
5,,371.5983984410552,338.0,33.5983984410552
5,,183.64203936137756,149.0,34.642039361377556
5,,125.91288259834562,143.0,-17.087117401654385
5,,314.2564797891738,264.0,50.25647978917382
5,,209.79828421555084,228.0,-18.201715784449153
5,,197.1775821876211,183.0,14.177582187621107
5,,203.41481068475798,161.0,42.414810684757995
5,,259.84728469873875,224.0,35.847284698738754
5,,136.55017940073805,169.0,-32.44982059926197
5,,96.75280933997844,138.0,-41.24719066002156
5,,88.82756370717107,159.0,-70.17243629282893
5,,229.83496656117984,210.0,19.83496656117984
5,,252.59797623765257,221.0,31.59797623765259
6,25,213.08931742394248,179.0,34.089317423942475
6,26,107.53199660063028,165.0,-57.46800339936972
6,27,177.3046025846939,147.0,30.3046025846939
6,28,222.0940528972763,188.0,34.09405289727629
6,29,212.29532838207072,180.0,32.295328382070714
6,30,294.0469803419855,256.0,38.04698034198548
6,31,224.5089498227876,187.0,37.5089498227876
6,32,228.00309490897786,213.0,15.00309490897787
6,33,173.68010479967134,213.0,-39.319895200328666
6,34,98.52751076136835,122.0,-23.472489238631656
6,35,218.22745789877712,203.0,15.227457898777107
6,36,264.8348389899157,231.0,33.83483898991568
6,37,490.9120635498908,456.0,34.912063549890775
6,38,178.02692961486358,149.0,29.026929614863583
6,39,253.66811859143922,277.0,-23.331881408560786
6,40,290.4357622146068,260.0,30.435762214606854
6,41,261.5575341634991,255.0,6.5575341634991
6,42,180.7931143023576,141.0,39.79311430235759
6,43,217.40817582744114,170.0,47.40817582744115
6,44,190.4399104448968,192.0,-1.5600895551031948
6,45,479.8717085745635,501.0,-21.12829142543649
6,46,439.45630785690525,501.0,-61.543692143094766
6,47,168.60767287861728,135.0,33.60767287861727
6,48,242.9970848763934,204.0,38.99708487639339
6,49,228.81650156716557,237.0,-8.18349843283444
6,,244.9963040060824,222.0,22.99630400608239
6,,276.3888107046622,239.0,37.388810704662234
6,,307.06283294880893,301.0,6.062832948808928
6,,169.61584100479035,197.0,-27.38415899520964
6,,211.98047929646893,232.0,-20.01952070353107
6,,234.43661679481298,200.0,34.436616794812984
6,,176.01963243337613,217.0,-40.98036756662387
6,,407.07654924956336,411.0,-3.923450750436647
6,,284.8747486340759,324.0,-39.12525136592409
6,,327.1122613330616,287.0,40.11226133306163
6,,158.12706953521382,209.0,-50.872930464786165
6,,407.07654924956336,411.0,-3.923450750436647
6,,407.07654924956336,411.0,-3.923450750436647
6,,156.7658114041155,192.0,-35.23418859588449
6,,372.6830337511669,356.0,16.683033751166878
6,,267.2794672235059,247.0,20.2794672235059
6,,324.5348891671664,380.0,-55.46511083283362
6,,407.07654924956336,411.0,-3.923450750436647
6,,325.4020804699912,255.0,70.40208046999119
6,,436.58626248594373,501.0,-64.41373751405627
6,,177.937239909295,151.0,26.937239909294988
6,,357.85963753262195,313.0,44.85963753262195
6,,230.90752578584542,192.0,38.907525785845415
6,,439.45630785690525,501.0,-61.543692143094766
6,,162.1355343744376,176.0,-13.864465625562387
7,25,449.6981126028663,501.0,-51.30188739713375
7,26,546.3606152031095,501.0,45.360615203109546
7,27,316.4506797780853,265.0,51.450679778085316
7,28,300.6706183618211,245.0,55.670618361821106
7,29,578.6212718703331,501.0,77.62127187033306
7,30,283.4497256005692,234.0,49.44972560056918
7,31,385.3039054775663,334.0,51.30390547756629
7,32,321.225086090302,305.0,16.225086090301982
7,33,219.07072841674523,167.0,52.07072841674524
7,34,160.22558692543114,203.0,-42.774413074568855
7,35,305.9140012769678,351.0,-45.085998723032226
7,36,150.7069355051125,166.0,-15.293064494887494
7,37,253.44111244154865,202.0,51.44111244154866
7,38,159.7389016714168,185.0,-25.261098328583177
7,39,370.18211579004435,332.0,38.182115790044364
7,40,319.46485355353497,281.0,38.464853553534965
7,41,143.21098249698122,204.0,-60.78901750301877
7,42,146.546073555629,176.0,-29.453926444371007
7,43,267.2303284457381,223.0,44.230328445738124
7,44,200.37714927310427,259.0,-58.622850726895734
7,45,171.04603602795336,142.0,29.046036027953352
7,46,518.1633579622372,501.0,17.163357962237182
7,47,143.5084775459383,136.0,7.5084775459383035
7,48,133.550072324794,167.0,-33.44992767520599
7,49,160.80846074963907,186.0,-25.191539250360933
7,,291.6427124520288,293.0,-1.3572875479712116
7,,488.99300263235006,501.0,-12.006997367649946
7,,462.32278736248577,501.0,-38.6772126375142
7,,102.72337599598073,160.0,-57.27662400401927
7,,213.53678941937957,153.0,60.53678941937957
7,,170.00061771819907,139.0,31.000617718199063
7,,407.07654924956336,411.0,-3.923450750436647
7,,230.37112767853407,205.0,25.371127678534066
7,,493.7539468456464,501.0,-7.246053154353614
7,,205.96890779450652,221.0,-15.031092205493492
7,,150.11411856649244,219.0,-68.88588143350755
7,,225.8964172273574,205.0,20.896417227357396
7,,121.91022553870977,172.0,-50.08977446129023
7,,250.13230385152457,228.0,22.132303851524583
7,,192.45409203367808,212.0,-19.54590796632192
7,,198.4356532111087,200.0,-1.564346788891308
7,,493.7539468456464,501.0,-7.246053154353614
7,,397.74449488537164,501.0,-103.25550511462836
7,,441.0698833002491,501.0,-59.93011669975087
7,,244.801063076331,198.0,46.801063076331005
7,,124.06939706288398,171.0,-46.93060293711602
7,,212.1129864605456,184.0,28.11298646054562
7,,407.07654924956336,411.0,-3.923450750436647
7,,479.2685894668241,501.0,-21.731410533175886
7,,128.5860188539331,176.0,-47.4139811460669
8,25,310.9736784053979,260.0,50.97367840539786
8,26,259.27772631010555,217.0,42.277726310105535
8,27,252.57578351751303,226.0,26.57578351751303
8,28,174.33622454561635,202.0,-27.663775454383646
8,29,247.8484007521265,195.0,52.8484007521265
8,30,163.39842465547133,134.0,29.39842465547133
8,31,358.2789061175009,333.0,25.278906117500917
8,32,94.4851043688952,152.0,-57.51489563110481
8,33,236.04704298530126,248.0,-11.952957014698747
8,34,254.2381635924126,205.0,49.238163592412604
8,35,106.89614281850257,135.0,-28.103857181497432
8,36,232.35627727516663,216.0,16.356277275166644
8,37,323.67860331314057,369.0,-45.321396686859416
8,38,122.30098606356057,168.0,-45.69901393643943
8,39,222.67823534963088,233.0,-10.321764650369127
8,40,219.47236593817317,175.0,44.47236593817316
8,41,247.06920123179,252.0,-4.930798768209988
8,42,146.33605771667052,185.0,-38.663942283329476
8,43,427.17845689781524,384.0,43.17845689781524
8,44,192.062728591988,272.0,-79.937271408012
8,45,502.1132129269092,451.0,51.113212926909235
8,46,183.102837265901,155.0,28.102837265900998
8,47,187.87051248739198,243.0,-55.129487512608016
8,48,226.7367823790612,184.0,42.736782379061204
8,49,222.12783996560813,278.0,-55.87216003439188
8,,287.9395302359849,244.0,43.93953023598487
8,,186.68932618395803,158.0,28.68932618395802
8,,374.77649515565173,292.0,82.77649515565174
8,,418.4758252243186,501.0,-82.5241747756814
8,,131.74115381860665,174.0,-42.25884618139336
8,,303.9064274542455,254.0,49.9064274542455
8,,136.68047809335997,177.0,-40.31952190664004
8,,488.99300263235006,501.0,-12.006997367649946
8,,337.8136869336174,271.0,66.81368693361742
8,,204.3951287362531,242.0,-37.6048712637469
8,,208.2474649835004,193.0,15.24746498350042
8,,268.0826167344971,269.0,-0.9173832655029104
8,,151.38534394606293,194.0,-42.61465605393707
8,,476.9549349807289,501.0,-24.0450650192711
8,,280.9586656228438,265.0,15.958665622843794
8,,368.8792856139117,360.0,8.879285613911684
8,,480.0565707341814,501.0,-20.943429265818637
8,,264.63639372482976,332.0,-67.36360627517023
